N,P,K,temperature,humidity,ph,rainfall,label
91.19,37.67,40.22,22.87,74.26,6.18,91.63,maize
15.94,64.04,22.75,28.89,82.71,6.37,58.84,mungbean
61.33,36.96,32.94,19.19,66.35,6.88,100.03,maize
23.5,55.75,18.9,31.78,30.0,5.75,161.8,pigeonpeas
19.66,19.3,32.84,28.3,94.14,5.67,198.49,coconut
86.42,12.13,48.18,27.8,94.83,6.16,27.87,muskmelon
88.89,53.0,37.82,24.25,65.85,6.0,77.28,maize
34.1,70.96,22.39,25.64,65.81,6.57,66.09,blackgram
114.38,28.03,32.08,25.57,67.54,6.61,171.21,coffee
26.57,121.88,209.15,20.78,83.48,6.67,75.11,grapes
15.44,64.56,18.6,29.44,82.8,6.2,48.8,mungbean
117.23,28.99,39.54,23.63,57.41,6.52,193.31,coffee
16.87,70.88,17.76,21.14,24.61,5.65,87.76,kidneybeans
129.2,44.26,18.32,24.11,77.49,6.47,69.64,cotton
15.18,137.9,200.17,24.15,91.36,6.32,103.92,apple
97.7,71.15,50.44,26.69,79.73,6.42,116.06,banana
33.36,62.1,19.0,25.57,68.75,7.77,63.03,blackgram
83.82,6.4,50.89,26.13,83.2,6.9,58.55,watermelon
19.31,13.89,27.98,25.28,90.02,5.6,185.46,coconut
14.59,57.09,19.23,27.55,25.66,5.39,47.87,lentil
20.59,13.56,12.72,33.2,91.31,6.67,109.29,orange
49.04,64.73,49.25,35.27,90.27,6.84,158.89,papaya
19.42,55.78,18.25,21.15,64.67,5.35,196.04,pigeonpeas
30.84,16.37,14.11,10.37,94.05,7.88,115.79,orange
63.21,48.11,43.21,26.88,81.68,5.8,296.95,rice
103.71,7.91,47.62,28.54,91.65,6.86,24.74,muskmelon
33.42,68.89,23.1,33.51,40.96,6.92,135.62,pigeonpeas
98.76,19.8,50.34,27.34,94.14,6.25,27.77,muskmelon
22.5,10.81,31.13,25.28,94.05,6.37,144.94,coconut
66.15,50.29,42.24,30.91,84.56,7.33,188.33,jute
80.01,76.03,47.08,26.25,83.06,5.92,95.75,banana
37.27,73.76,17.76,28.32,70.51,7.53,78.59,blackgram
44.83,63.46,47.69,41.81,93.35,6.46,156.8,papaya
104.51,84.63,50.48,28.2,77.59,5.63,93.58,banana
130.14,59.42,21.15,26.85,82.07,6.16,80.1,cotton
100.6,12.8,53.3,25.68,82.33,6.28,50.1,watermelon
27.1,15.33,7.82,22.04,90.22,7.64,119.8,orange
100.1,23.42,30.07,23.36,69.15,6.66,217.11,coffee
44.61,62.66,81.24,19.64,16.56,5.83,96.03,chickpea
76.73,58.32,52.32,20.32,80.4,5.75,281.06,rice
17.12,48.87,20.89,29.41,56.45,3.82,45.81,mothbeans
24.3,19.27,14.45,29.49,93.01,6.91,107.12,orange
16.03,17.38,37.19,28.19,49.67,5.63,100.34,mango
82.31,29.06,33.79,26.5,62.88,6.75,152.65,coffee
33.69,62.91,22.45,29.04,50.08,6.89,51.25,mothbeans
47.39,58.61,24.48,27.19,64.89,7.51,67.88,blackgram
30.63,5.29,38.27,22.4,87.75,7.32,112.68,pomegranate
81.3,36.3,31.73,19.21,56.27,7.48,76.12,maize
26.27,60.1,18.96,28.65,52.64,4.15,54.96,mothbeans
132.45,44.33,21.21,24.6,76.89,7.52,64.54,cotton
45.28,47.11,46.88,33.51,93.97,6.15,159.58,papaya
34.92,71.51,23.91,22.48,53.07,4.7,127.59,pigeonpeas
34.58,56.85,23.93,26.59,56.91,6.17,54.13,mothbeans
19.05,74.33,20.58,17.43,22.06,5.64,86.64,kidneybeans
94.55,26.04,32.69,26.69,68.61,6.88,192.81,coffee
42.01,58.33,18.8,31.17,74.55,7.46,78.45,blackgram
22.45,69.83,21.75,20.47,34.1,5.38,37.6,lentil
15.69,6.67,26.87,27.52,96.79,5.74,195.46,coconut
78.23,50.5,40.55,21.32,86.96,5.71,258.37,rice
24.98,10.05,7.96,11.68,94.48,7.38,102.43,orange
94.84,17.74,53.75,27.51,90.68,6.63,23.01,muskmelon
104.86,17.34,46.89,26.8,83.49,6.3,45.93,watermelon
22.58,74.34,19.18,21.89,22.68,6.13,69.96,kidneybeans
80.55,9.68,51.38,24.04,80.4,6.85,53.68,watermelon
99.54,85.08,48.26,29.92,81.67,5.57,99.8,banana
20.31,67.03,20.08,30.86,60.36,4.81,161.11,pigeonpeas
29.6,55.48,19.31,24.21,47.11,5.49,54.68,mothbeans
81.55,74.67,53.31,28.83,78.51,6.07,106.01,banana
66.82,42.05,42.74,23.43,87.42,7.22,196.61,jute
115.77,44.04,18.28,26.09,77.5,7.22,94.39,cotton
16.67,18.93,40.8,22.67,94.12,6.19,112.43,pomegranate
27.6,59.97,22.94,25.7,47.7,6.45,194.9,pigeonpeas
27.92,69.13,79.64,21.86,17.65,6.37,68.99,chickpea
89.76,35.84,36.4,24.86,72.54,6.18,101.06,maize
17.89,9.06,33.54,27.86,93.64,5.65,161.48,coconut
16.05,16.74,43.46,23.59,90.08,5.97,116.91,pomegranate
98.53,35.3,54.4,20.3,93.37,6.06,299.3,rice
20.42,59.05,20.2,22.35,38.6,5.77,192.63,pigeonpeas
27.97,135.94,203.3,8.4,82.18,6.06,78.85,grapes
40.57,61.69,20.19,26.98,72.08,6.37,61.7,blackgram
18.01,7.79,27.55,26.52,92.88,5.92,136.92,coconut
34.49,63.36,75.26,17.12,18.99,6.18,83.13,chickpea
46.16,70.36,16.14,31.44,72.51,7.15,72.93,blackgram
29.0,7.94,32.65,25.12,93.0,5.61,154.67,coconut
64.71,49.41,30.48,22.99,68.03,7.16,70.32,maize
111.18,76.31,53.3,28.52,84.46,6.11,109.86,banana
22.02,42.34,21.4,31.37,41.0,4.81,38.3,mothbeans
96.44,85.73,51.99,28.56,75.52,6.79,103.75,banana
29.46,73.19,22.22,18.73,24.09,5.63,107.43,kidneybeans
24.33,5.79,35.38,23.02,90.38,6.52,104.86,pomegranate
33.84,79.39,81.41,21.11,14.8,7.66,97.3,chickpea
28.4,10.14,34.98,25.02,90.22,6.32,143.96,coconut
16.02,19.31,6.42,27.71,90.34,6.22,110.18,orange
26.63,63.73,22.06,27.3,60.35,5.35,148.24,pigeonpeas
97.21,76.87,53.88,25.2,84.14,6.75,98.93,banana
109.42,86.59,46.13,28.6,80.0,6.84,117.6,banana
27.44,134.63,199.21,24.64,91.22,5.95,116.31,apple
27.36,74.1,23.21,15.01,22.45,5.55,75.46,kidneybeans
104.87,6.63,46.08,28.28,90.49,6.62,21.44,muskmelon
23.85,41.21,23.74,29.48,85.88,6.53,56.0,mungbean
33.77,60.47,24.88,26.08,64.24,5.44,43.9,mothbeans
27.25,14.8,33.39,29.72,92.18,5.67,163.88,coconut
60.44,38.42,43.0,25.87,66.95,6.7,93.25,maize
25.26,137.83,199.1,21.49,92.22,5.83,113.27,apple
28.62,19.17,25.06,27.32,90.2,6.41,166.29,coconut
25.39,57.69,17.99,17.51,23.63,5.78,72.64,kidneybeans
26.92,50.85,19.15,24.93,53.67,7.56,43.76,mothbeans
21.76,43.17,20.74,27.49,87.34,6.31,41.17,mungbean
20.27,64.98,15.72,26.21,40.13,7.3,44.71,lentil
91.06,19.4,53.2,27.42,82.07,6.27,45.71,watermelon
23.71,63.02,20.42,27.16,82.04,6.63,44.39,mungbean
32.88,73.93,24.25,25.55,61.21,5.93,159.8,pigeonpeas
30.92,60.44,22.85,22.75,67.56,6.41,145.96,pigeonpeas
25.14,58.76,18.54,30.53,45.31,6.97,172.76,pigeonpeas
27.42,61.7,16.74,19.98,23.78,5.6,74.39,kidneybeans
71.73,57.41,25.26,18.77,59.16,5.55,69.07,maize
90.26,51.65,43.81,31.5,90.05,6.02,155.36,jute
22.09,65.47,77.6,20.65,19.89,6.14,87.9,chickpea
27.52,130.23,198.81,24.44,92.8,6.05,118.29,apple
25.2,12.94,13.76,21.56,91.4,6.46,117.49,orange
120.0,42.07,18.79,24.92,83.88,7.13,94.08,cotton
83.43,58.51,46.51,22.72,89.65,5.92,254.56,rice
27.81,16.57,25.65,28.11,91.88,6.06,196.98,coconut
21.39,140.26,205.35,33.37,82.19,5.97,61.99,grapes
14.69,67.97,16.72,28.47,44.52,5.47,54.25,lentil
87.98,11.93,50.49,27.8,91.98,6.24,54.54,watermelon
29.04,132.83,208.08,18.11,78.52,6.9,67.56,grapes
25.59,128.69,202.81,30.94,80.51,6.57,77.22,grapes
39.0,68.86,22.33,34.95,64.31,7.08,70.67,blackgram
18.22,13.45,44.44,18.03,87.38,7.38,103.42,pomegranate
31.39,62.68,83.03,19.7,15.87,7.03,90.07,chickpea
20.63,6.6,29.94,29.37,97.1,5.51,192.04,coconut
94.18,47.31,29.94,25.84,63.91,6.53,77.96,maize
28.5,71.02,19.51,26.62,43.45,6.48,38.85,lentil
16.36,138.09,207.09,18.13,81.98,6.14,77.78,grapes
90.04,15.43,51.99,26.82,85.91,6.91,49.78,watermelon
73.15,52.53,43.43,36.33,89.06,6.99,192.83,jute
84.96,21.3,27.91,25.08,60.77,6.61,211.94,coffee
119.55,23.91,30.99,27.18,65.95,6.62,165.69,coffee
28.94,63.1,24.06,17.25,21.34,5.73,98.43,kidneybeans
85.99,36.68,36.81,29.66,87.15,6.22,159.26,jute
31.96,63.68,24.19,29.91,46.94,4.77,68.53,mothbeans
18.56,65.25,16.04,17.69,21.41,6.15,117.03,kidneybeans
102.81,71.34,46.4,28.11,77.08,6.26,106.35,banana
27.53,55.29,18.79,17.36,18.14,5.62,84.82,kidneybeans
20.39,9.39,26.74,28.96,97.64,5.91,196.67,coconut
47.95,64.39,46.4,34.99,91.0,6.79,167.02,papaya
49.69,54.12,47.06,37.85,92.26,6.96,135.65,papaya
18.62,46.72,19.39,27.74,83.06,6.83,51.76,mungbean
26.03,20.39,26.89,32.3,55.5,5.01,99.04,mango
26.93,10.49,43.07,21.66,86.17,5.76,110.74,pomegranate
81.93,11.04,45.23,25.32,86.44,6.91,56.93,watermelon
29.68,67.07,18.58,19.53,18.86,6.39,90.19,kidneybeans
81.06,53.29,26.63,18.54,59.94,5.82,103.59,maize
26.33,123.73,202.04,24.32,90.06,5.77,100.07,apple
46.0,59.83,15.68,28.17,64.0,7.01,75.55,blackgram
20.84,57.05,84.68,18.48,18.62,7.06,78.37,chickpea
23.3,139.2,195.61,12.3,79.22,6.1,76.91,grapes
20.45,140.79,209.71,25.28,78.06,5.71,66.44,grapes
90.0,71.64,51.91,27.86,79.05,6.05,96.5,banana
117.98,44.83,18.01,25.24,80.91,7.94,78.07,cotton
94.22,52.59,44.48,20.68,87.37,5.95,217.32,rice
29.9,7.52,36.9,21.22,87.86,5.99,112.9,pomegranate
16.54,40.1,22.69,28.93,84.11,6.73,48.31,mungbean
102.94,75.38,53.62,29.71,80.18,6.03,97.02,banana
76.36,48.98,41.39,30.45,88.76,7.14,180.89,jute
21.31,49.83,19.66,27.29,81.79,7.2,53.55,mungbean
60.52,51.59,28.56,26.65,57.97,6.33,64.27,maize
31.95,78.52,77.59,19.15,19.24,7.6,71.51,chickpea
50.49,74.95,79.36,21.09,14.72,6.86,65.2,chickpea
46.47,68.94,82.31,19.33,14.36,6.91,98.52,chickpea
18.89,129.77,209.2,21.99,92.67,6.24,113.44,apple
74.88,54.41,41.82,26.52,92.88,5.86,275.09,rice
28.35,61.92,16.54,15.18,22.52,6.14,80.44,kidneybeans
62.82,46.81,46.13,25.56,90.52,6.21,178.2,papaya
114.81,26.64,26.26,27.45,62.08,6.62,161.2,coffee
34.66,64.84,18.1,26.82,67.56,6.65,65.16,blackgram
29.36,55.18,24.98,19.74,23.8,5.79,60.86,kidneybeans
26.34,20.32,30.72,30.71,59.55,5.63,107.13,mango
25.41,26.13,32.65,30.8,52.96,4.57,96.71,mango
25.4,19.63,34.62,26.17,90.8,5.65,179.14,coconut
37.85,51.42,48.87,35.58,90.79,6.86,146.85,papaya
31.69,129.02,204.18,21.61,90.26,5.72,103.84,apple
33.9,71.62,82.95,21.64,15.41,6.5,70.33,chickpea
25.23,18.78,44.04,19.1,88.67,6.74,103.19,pomegranate
24.22,71.42,83.22,18.9,18.65,7.91,72.13,chickpea
87.03,12.82,46.72,27.92,91.61,6.16,22.05,muskmelon
26.75,128.84,202.24,23.39,91.89,6.2,113.01,apple
91.93,14.37,52.8,29.35,92.6,6.86,23.91,muskmelon
80.61,12.86,50.05,28.58,94.87,6.91,21.62,muskmelon
30.22,15.24,33.37,30.42,55.13,5.91,96.27,mango
19.32,23.86,38.7,34.18,63.43,6.95,90.21,mango
122.99,46.56,21.28,23.74,79.65,6.03,84.08,cotton
26.33,17.06,30.53,27.44,90.91,5.58,153.77,coconut
33.49,12.76,36.17,21.7,86.27,6.68,109.65,pomegranate
91.81,41.77,43.78,20.55,80.38,6.93,283.6,rice
102.54,15.18,46.98,28.48,93.96,6.48,25.37,muskmelon
111.42,28.51,28.28,26.13,60.88,6.98,188.31,coffee
49.34,53.6,45.11,40.75,93.02,6.2,175.18,papaya
22.89,53.25,19.13,28.58,60.14,6.92,36.16,mothbeans
89.71,45.64,31.92,21.34,74.75,5.58,103.35,maize
19.69,22.21,33.28,32.69,50.14,6.87,93.4,mango
104.84,10.74,50.89,29.16,91.21,6.17,29.72,muskmelon
32.55,69.77,18.1,22.47,38.58,5.31,139.8,pigeonpeas
22.16,64.74,22.79,29.85,81.43,6.57,51.09,mungbean
116.69,21.96,26.55,25.29,60.64,6.37,185.09,coffee
17.08,140.32,195.58,31.06,79.64,6.81,69.7,grapes
28.15,12.91,28.34,26.04,96.4,6.12,162.76,coconut
114.89,46.37,20.48,23.66,83.46,7.62,83.82,cotton
23.37,70.02,18.71,23.0,41.05,5.8,198.43,pigeonpeas
85.1,49.61,53.02,20.32,84.21,6.9,289.03,rice
21.59,129.54,204.27,23.87,91.57,6.4,116.8,apple
32.92,17.1,35.04,20.24,89.22,5.96,103.99,pomegranate
90.74,22.04,26.15,26.53,60.9,5.91,150.27,coffee
55.2,71.27,80.33,18.62,16.0,7.17,99.79,chickpea
112.39,45.94,19.22,26.54,82.24,7.34,99.94,cotton
76.48,36.47,39.05,23.56,89.69,6.31,166.42,jute
18.05,25.65,35.16,27.22,53.23,5.33,103.39,mango
90.81,90.57,50.18,27.31,78.14,6.37,111.9,banana
36.55,49.22,45.74,29.91,93.14,6.57,156.73,papaya
30.33,129.05,206.01,21.42,93.16,6.03,108.77,apple
52.24,74.75,78.05,17.4,16.42,5.93,89.32,chickpea
69.7,37.87,47.21,22.02,88.72,5.31,248.11,rice
25.98,60.75,20.15,24.35,54.85,5.5,178.62,pigeonpeas
26.14,45.78,21.52,29.85,63.95,4.49,65.45,mothbeans
25.83,42.15,18.4,27.32,85.86,6.82,44.67,mungbean
95.57,50.43,39.12,25.57,91.18,6.8,192.62,jute
23.59,12.06,36.57,18.22,94.47,5.98,104.8,pomegranate
32.95,136.4,208.23,24.98,81.25,6.88,78.0,grapes
22.44,56.54,18.99,28.57,44.63,4.75,38.75,mothbeans
75.65,43.4,44.69,32.72,88.07,6.84,198.73,jute
94.47,58.65,32.47,20.44,67.88,6.32,61.27,maize
27.36,12.22,31.74,27.17,94.47,5.56,178.74,coconut
68.01,39.19,27.09,23.73,69.13,5.56,106.81,maize
50.88,55.68,75.65,19.32,19.46,6.85,82.42,chickpea
92.39,86.59,51.66,26.43,79.6,5.79,96.31,banana
79.71,35.28,44.37,20.39,81.78,5.24,264.92,rice
25.0,13.74,29.88,25.93,97.16,5.75,136.39,coconut
90.73,40.78,39.09,30.34,79.89,6.04,157.64,jute
21.42,18.78,33.01,34.41,47.06,6.86,105.9,mango
80.45,18.35,47.45,29.19,94.06,6.86,29.92,muskmelon
30.53,134.9,204.67,24.03,90.47,6.33,121.17,apple
90.61,92.6,48.21,27.76,75.51,5.57,111.61,banana
29.1,71.34,21.83,35.41,32.07,6.01,177.48,pigeonpeas
46.9,62.9,15.51,29.02,70.11,6.9,74.98,blackgram
34.64,5.95,14.03,30.35,91.57,7.95,105.76,orange
30.9,65.34,76.22,17.91,18.09,5.95,83.38,chickpea
96.81,8.83,47.63,24.16,83.67,6.74,40.95,watermelon
104.2,84.0,49.86,27.52,76.76,6.72,106.25,banana
16.72,144.24,195.58,24.01,92.1,5.87,101.98,apple
32.98,64.16,78.96,20.48,16.33,6.62,73.31,chickpea
83.83,20.32,28.77,27.58,67.79,6.37,191.63,coffee
16.13,62.48,24.61,29.55,56.86,6.4,135.92,pigeonpeas
31.43,6.83,13.49,20.35,91.27,7.74,108.64,orange
27.94,132.35,204.3,23.18,92.96,6.21,116.03,apple
26.25,7.63,28.72,25.14,91.1,5.67,133.81,coconut
40.32,62.46,52.43,36.21,92.03,6.26,178.77,papaya
94.04,14.86,53.95,25.57,91.54,6.42,52.02,watermelon
15.38,60.67,21.67,30.2,45.86,5.05,31.2,mothbeans
39.03,50.79,51.62,35.42,92.66,6.68,158.24,papaya
42.68,73.46,83.79,19.02,15.96,7.17,93.27,chickpea
32.19,15.65,39.82,21.64,94.75,7.43,104.31,pomegranate
40.93,62.18,82.93,19.89,17.81,7.49,78.86,chickpea
40.88,54.71,52.85,33.25,91.68,6.08,153.02,papaya
26.69,62.57,15.88,22.11,59.26,6.89,43.32,lentil
32.8,141.48,196.15,21.43,91.98,6.11,108.25,apple
28.02,17.37,39.18,18.51,87.74,7.46,111.93,pomegranate
48.36,57.67,80.67,18.28,19.78,6.71,93.21,chickpea
34.36,26.29,37.17,27.3,54.36,6.12,106.6,mango
37.89,70.01,80.16,21.6,16.98,7.98,94.8,chickpea
15.76,14.65,37.63,18.37,87.31,7.1,117.03,pomegranate
96.65,7.82,53.6,25.03,82.72,6.48,49.98,watermelon
24.39,64.78,19.02,21.96,24.16,6.12,94.16,kidneybeans
31.65,60.1,24.06,27.18,86.92,6.21,48.32,mungbean
108.71,15.45,50.96,28.38,91.82,6.35,26.36,muskmelon
95.31,6.92,52.39,25.59,83.16,6.38,49.96,watermelon
27.47,66.98,16.15,15.66,24.37,6.17,109.76,kidneybeans
100.37,15.88,54.65,27.78,90.09,6.55,27.07,muskmelon
32.47,20.92,30.03,28.87,52.56,5.29,103.55,mango
88.53,54.02,46.23,25.4,87.41,6.05,242.75,rice
37.03,73.19,20.69,32.62,72.18,6.68,68.67,blackgram
28.2,76.95,83.8,21.35,15.43,6.63,99.47,chickpea
119.82,70.56,46.13,28.05,83.21,5.93,97.18,banana
36.96,72.91,24.67,29.43,64.81,7.05,73.76,blackgram
16.48,62.51,23.63,25.8,69.89,6.18,145.69,pigeonpeas
42.7,47.02,51.06,36.56,93.21,6.86,149.19,papaya
15.3,74.3,19.76,30.17,58.27,6.33,145.03,pigeonpeas
26.09,60.65,22.42,29.35,85.99,6.62,59.16,mungbean
21.29,7.67,34.24,28.81,93.85,6.18,192.81,coconut
106.15,42.66,18.82,26.07,77.95,6.04,107.21,cotton
15.41,135.11,199.16,38.18,79.7,6.53,73.48,grapes
31.95,144.81,205.19,24.75,93.31,6.34,117.07,apple
16.65,59.87,19.58,27.11,28.24,7.13,35.42,lentil
111.57,70.78,54.67,27.63,78.03,6.04,91.99,banana
80.39,38.51,43.06,35.44,89.92,6.65,187.93,jute
15.4,136.77,202.04,22.39,93.45,6.35,100.67,apple
33.14,13.81,35.85,21.15,92.56,7.09,109.89,pomegranate
33.04,123.18,207.36,22.64,93.96,5.97,116.62,apple
22.38,48.93,20.41,28.56,84.41,7.32,50.11,mungbean
83.58,14.74,50.67,28.66,90.16,6.47,29.25,muskmelon
100.05,18.59,33.85,25.22,61.7,6.04,151.35,coffee
81.91,17.21,30.23,27.15,68.39,5.78,199.57,coffee
33.37,74.02,22.04,24.43,61.5,5.25,165.13,pigeonpeas
66.26,40.0,39.89,32.82,91.81,6.66,175.91,jute
15.27,74.26,22.27,17.13,23.81,5.78,112.37,kidneybeans
113.44,76.62,49.49,27.69,81.64,6.68,101.84,banana
95.09,44.81,41.33,21.95,62.54,6.43,75.07,maize
68.99,47.26,41.28,33.28,86.69,7.45,159.86,jute
99.87,47.55,36.91,18.6,70.0,5.92,104.9,maize
32.25,58.59,23.6,27.95,45.86,4.9,189.22,pigeonpeas
22.3,24.17,35.44,30.08,47.16,4.67,101.78,mango
19.4,70.46,20.18,17.44,20.6,5.5,77.99,kidneybeans
24.48,11.7,35.07,23.74,88.6,6.58,113.55,pomegranate
106.14,14.95,48.42,26.73,80.24,6.74,49.74,watermelon
30.2,63.18,18.29,31.93,71.49,6.61,76.23,blackgram
89.46,58.36,43.51,22.06,57.26,7.47,101.94,maize
99.87,48.89,50.38,26.61,92.74,5.49,245.05,rice
22.45,63.22,18.43,24.74,44.07,6.18,36.02,mothbeans
28.35,60.75,18.68,15.41,18.78,6.02,76.06,kidneybeans
25.17,22.15,29.06,27.26,57.1,5.49,95.97,mango
131.93,42.54,19.58,24.09,77.92,6.25,100.29,cotton
56.63,50.1,45.89,26.34,92.13,6.95,133.06,papaya
33.65,42.97,24.54,29.47,53.29,3.65,49.02,mothbeans
113.21,44.62,21.56,23.22,76.77,7.1,84.05,cotton
22.63,59.38,20.4,28.88,81.92,6.22,58.76,mungbean
28.89,6.68,10.65,16.22,92.16,7.27,105.14,orange
67.48,44.1,42.48,26.94,78.28,6.81,197.83,jute
32.38,55.73,15.53,33.34,61.77,6.09,68.76,blackgram
25.97,50.07,21.64,29.99,81.35,7.01,47.92,mungbean
96.21,28.89,30.3,25.29,69.72,5.8,155.22,coffee
104.93,71.41,45.24,27.25,78.33,6.16,97.88,banana
29.59,74.34,19.57,29.93,59.68,7.05,153.81,pigeonpeas
50.24,64.97,51.95,30.24,94.38,6.78,120.92,papaya
29.76,139.18,208.58,22.64,93.81,6.37,108.9,apple
33.73,9.63,43.7,23.35,87.48,5.57,102.04,pomegranate
65.25,35.81,43.42,23.55,70.93,6.46,65.87,maize
27.68,28.72,28.13,32.99,46.57,6.01,93.28,mango
23.63,16.07,29.9,25.14,90.51,6.04,180.32,coconut
30.51,127.2,199.86,23.72,92.25,5.66,109.3,apple
16.3,73.99,18.05,20.03,38.43,5.92,35.7,lentil
61.62,47.25,43.06,29.13,85.76,7.2,180.53,jute
24.31,40.34,18.57,26.07,40.7,6.34,47.06,mothbeans
15.68,67.54,18.59,29.95,39.21,6.46,46.32,lentil
20.26,8.62,25.62,25.9,91.0,6.41,139.82,coconut
38.54,64.38,24.29,31.41,64.67,7.05,61.32,blackgram
95.55,44.29,40.16,27.66,81.87,6.98,155.99,jute
34.85,46.02,24.12,29.49,82.25,6.6,48.19,mungbean
122.33,57.23,21.32,24.13,80.48,6.17,105.76,cotton
91.34,5.12,45.09,25.84,85.86,6.02,53.74,watermelon
17.1,141.46,199.65,24.89,90.47,6.46,102.73,apple
22.47,129.7,196.44,40.01,78.55,6.47,68.26,grapes
24.83,11.69,28.47,29.18,96.07,5.82,137.21,coconut
24.98,143.29,203.75,26.84,80.73,5.81,60.07,grapes
103.12,9.91,47.42,24.68,89.3,6.13,49.08,watermelon
99.47,44.36,42.41,25.69,94.21,6.97,275.34,rice
17.43,16.71,31.16,32.83,59.24,4.95,91.59,mango
22.16,15.13,37.59,27.29,63.8,6.73,100.71,mango
93.07,19.34,32.86,23.4,56.77,5.76,211.98,coffee
16.33,19.98,35.25,23.85,88.65,7.18,111.09,pomegranate
103.55,72.23,49.31,25.87,84.87,6.34,110.62,banana
25.3,124.13,209.67,11.78,83.59,6.87,70.51,grapes
68.59,52.78,44.93,24.21,90.07,6.59,176.2,jute
15.42,10.05,6.44,15.82,94.53,6.07,104.4,orange
103.23,53.14,20.62,23.38,78.19,7.99,93.92,cotton
28.25,17.37,35.32,28.15,53.51,5.12,104.97,mango
51.32,62.54,50.44,29.05,94.26,6.56,132.41,papaya
89.59,7.51,47.63,27.11,93.52,6.49,20.94,muskmelon
19.25,56.59,20.88,27.22,62.11,7.53,66.37,mothbeans
95.73,47.73,41.89,32.35,84.29,7.03,153.49,jute
21.2,62.7,82.05,18.01,18.04,7.92,68.29,chickpea
34.23,56.7,24.53,26.12,55.29,6.55,42.7,mothbeans
23.33,11.73,40.99,18.5,87.27,7.36,118.17,pomegranate
91.94,13.7,54.48,24.28,86.09,6.33,50.17,watermelon
16.01,41.32,22.84,27.66,45.66,6.26,40.11,mothbeans
130.52,43.37,20.53,23.34,84.47,6.58,71.32,cotton
42.19,62.19,54.25,39.05,91.67,6.27,152.95,papaya
89.78,12.13,51.03,27.94,91.25,6.86,57.78,watermelon
33.35,50.16,19.0,29.72,47.33,5.86,57.91,mothbeans
85.29,50.84,45.72,20.63,92.53,5.64,218.65,rice
15.64,15.11,30.37,27.22,95.08,6.33,159.94,coconut
28.65,54.38,21.0,26.21,59.21,4.52,57.69,mothbeans
20.44,45.45,22.63,29.07,54.84,3.57,59.15,mothbeans
90.94,38.27,44.4,22.08,59.72,5.65,68.49,maize
77.35,44.96,47.32,24.45,80.68,5.75,262.59,rice
78.06,39.09,40.9,24.24,59.42,5.66,94.02,maize
23.8,9.12,25.32,29.1,92.21,6.3,150.18,coconut
